Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,56.889999,57.230000,56.820000,56.849998,56.460320,4350100
2019-11-18,56.779999,57.090000,56.490002,57.080002,56.688744,3788400
2019-11-19,57.349998,57.490002,56.700001,57.070000,56.678810,4704900
2019-11-20,56.799999,56.849998,55.279999,55.669998,55.288406,7383600
2019-11-21,55.740002,55.990002,55.259998,55.310001,54.930878,5021000
2019-11-22,55.570000,56.130001,55.119999,56.110001,55.725391,9648200
2019-11-25,56.389999,56.689999,55.689999,56.349998,55.963745,6822400
2019-11-26,56.320000,57.480000,56.250000,57.459999,57.066139,4888100
2019-11-27,57.529999,57.580002,56.680000,57.070000,56.678810,4062500
2019-11-29,57.150002,57.849998,57.009998,57.310001,56.917168,2653600
2019-12-02,57.250000,57.650002,56.720001,56.750000,56.361004,5628200
2019-12-03,55.889999,56.000000,54.540001,55.619999,55.238750,6871700
2019-12-04,55.950001,56.570000,55.759998,56.060001,55.675735,4760100
2019-12-05,56.389999,56.410000,55.700001,55.880001,55.496971,3899900
2019-12-06,56.439999,56.599998,56.119999,56.139999,55.755184,4568200
2019-12-09,55.990002,56.150002,55.650002,55.799999,55.417515,4057000
2019-12-10,55.799999,56.369999,55.430000,55.529999,55.149368,4871900
2019-12-11,55.400002,55.520000,54.950001,55.080002,54.702454,5544300
2019-12-12,55.910000,57.490002,55.610001,56.689999,56.301414,8868000
2019-12-13,56.790001,57.290001,56.430000,56.730000,56.341141,4440400
2019-12-16,57.169998,58.490002,57.150002,58.419998,58.019558,7460700
2019-12-17,58.419998,59.299999,58.330002,58.689999,58.287704,6663200
2019-12-18,59.490002,59.639999,58.450001,58.580002,58.178463,5026900
2019-12-19,58.619999,59.240002,58.419998,59.139999,58.734623,4455700
2019-12-20,59.549999,59.580002,58.919998,58.970001,58.565788,6025700
2019-12-23,59.169998,59.919998,59.029999,59.439999,59.032566,3648100
2019-12-24,59.660000,59.720001,59.160000,59.389999,58.982910,1076000
2019-12-26,59.480000,59.720001,59.259998,59.560001,59.151745,2464400
2019-12-27,59.630001,59.650002,58.790001,59.080002,58.675037,3538600
2019-12-30,59.250000,59.299999,58.240002,58.660000,58.257912,3779300
2019-12-31,58.490002,58.730000,58.340000,58.480000,58.079147,2917300
2020-01-02,58.930000,59.389999,58.450001,59.040001,58.635307,4459200
2020-01-03,57.500000,58.119999,56.910000,58.060001,57.662025,9078100
2020-01-06,56.990002,57.759998,56.660000,57.660000,57.264767,5504300
2020-01-07,57.910000,58.070000,57.470001,57.610001,57.215111,5563000
2020-01-08,57.750000,59.400002,57.730000,58.849998,58.446609,8519000
2020-01-09,59.259998,59.470001,58.580002,58.959999,58.555855,5336700
2020-01-10,59.250000,59.490002,58.619999,59.240002,58.833939,8279700
2020-01-13,59.029999,59.700001,59.029999,59.490002,59.082226,8414200
2020-01-14,62.040001,62.250000,60.860001,61.450001,61.028790,16454100
2020-01-15,61.540001,61.939999,61.029999,61.619999,61.197624,7953400
2020-01-16,62.060001,62.480000,61.630001,61.880001,61.455841,4950300
2020-01-17,62.130001,62.480000,61.869999,62.029999,61.604813,5770000
2020-01-21,61.250000,61.610001,58.430000,60.340000,59.926399,16592000
2020-01-22,60.630001,60.720001,59.560001,59.639999,59.231194,7096400
2020-01-23,59.189999,60.380001,58.189999,60.270000,59.856876,7774500
2020-01-24,60.099998,60.209999,57.840000,58.810001,58.406887,10989500
2020-01-27,56.490002,57.180000,55.619999,56.830002,56.440460,13090200
2020-01-28,57.549999,57.970001,56.750000,57.480000,57.086002,6343700
