Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,40.619999,40.619999,39.759998,39.799999,39.799999,1439000
2019-12-31,39.720001,40.509998,39.500000,40.310001,40.310001,796000
2020-01-02,40.700001,40.930000,40.099998,40.650002,40.650002,1027400
2020-01-03,39.660000,39.930000,38.330002,39.820000,39.820000,1327700
2020-01-06,39.299999,40.540001,39.049999,40.389999,40.389999,1003500
2020-01-07,40.220001,40.380001,39.220001,39.500000,39.500000,866700
2020-01-08,39.119999,40.540001,39.009998,39.939999,39.939999,1193700
2020-01-09,40.680000,40.869999,39.869999,40.000000,40.000000,1331600
2020-01-10,40.830002,40.840000,39.369999,39.790001,39.790001,1707500
2020-01-13,39.650002,39.930000,39.400002,39.759998,39.759998,1199500
2020-01-14,40.259998,40.930000,40.099998,40.110001,40.110001,1204000
2020-01-15,39.869999,40.200001,39.599998,39.680000,39.680000,819300
2020-01-16,41.580002,43.369999,41.540001,42.650002,42.650002,2985900
2020-01-17,43.080002,43.650002,42.330002,42.930000,42.930000,1540900
2020-01-21,42.459999,42.980000,40.650002,41.720001,41.720001,1974000
2020-01-22,42.000000,42.889999,41.939999,42.599998,42.599998,946300
2020-01-23,42.180000,43.029999,41.380001,42.840000,42.840000,1237300
2020-01-24,42.770000,43.000000,41.220001,42.099998,42.099998,1255400
2020-01-27,41.099998,41.790001,40.529999,41.320000,41.320000,1085200
2020-01-28,41.820000,42.770000,41.820000,42.400002,42.400002,1027000
2020-01-29,42.430000,43.070000,42.230000,42.709999,42.709999,1180400
2020-01-30,42.080002,42.540001,41.480000,42.439999,42.439999,870400
2020-01-31,42.070000,42.259998,40.470001,41.070000,41.070000,1101100
2020-02-03,41.250000,42.430000,41.250000,41.959999,41.959999,1220100
2020-02-04,42.970001,43.720001,42.880001,43.340000,43.340000,1048800
2020-02-05,44.000000,44.700001,43.410000,44.439999,44.439999,1867800
2020-02-06,46.500000,47.500000,42.490002,42.799999,42.799999,4124800
2020-02-07,42.439999,44.570000,42.209999,44.200001,44.200001,1431100
2020-02-10,43.980000,44.380001,43.380001,43.759998,43.759998,990100
2020-02-11,43.939999,44.459999,43.160000,43.310001,43.310001,1354200
2020-02-12,43.820000,44.200001,43.689999,43.930000,43.930000,652100
2020-02-13,43.700001,44.799999,43.439999,44.580002,44.580002,1039800
2020-02-14,44.520000,44.689999,43.790001,43.880001,43.880001,731000
2020-02-18,43.660000,43.990002,42.299999,42.590000,42.590000,1156400
2020-02-19,42.599998,42.830002,41.110001,41.139999,41.139999,1639200
2020-02-20,41.000000,41.700001,40.750000,41.250000,41.250000,1694500
2020-02-21,41.119999,41.189999,40.389999,41.099998,41.099998,935100
2020-02-24,39.119999,39.119999,36.750000,37.459999,37.459999,2938200
2020-02-25,38.000000,38.049999,34.389999,34.709999,34.709999,3006200
2020-02-26,35.160000,35.490002,32.799999,32.919998,32.919998,2867600
2020-02-27,31.290001,32.290001,29.750000,29.750000,29.750000,3802100
2020-02-28,28.309999,29.650000,27.980000,28.450001,28.450001,3602200
2020-03-02,28.360001,28.450001,26.129999,27.270000,27.270000,4539200
2020-03-03,28.020000,28.680000,25.200001,25.230000,25.230000,2926900
2020-03-04,25.900000,26.410000,24.150000,26.340000,26.340000,4020400
2020-03-05,25.020000,25.040001,21.270000,21.540001,21.540001,6721400
2020-03-06,20.230000,23.770000,19.040001,22.520000,22.520000,5759400
2020-03-09,20.700001,21.870001,20.000000,21.410000,21.410000,3369000
2020-03-10,22.540001,22.790001,19.660000,22.480000,22.480000,5673900
2020-03-11,21.740000,21.760000,20.139999,20.930000,20.930000,3562900
2020-03-12,18.209999,18.620001,14.000000,14.060000,14.060000,8133300
2020-03-13,15.910000,16.000000,13.440000,15.080000,15.080000,6305200
2020-03-16,13.090000,13.500000,10.920000,11.660000,11.660000,7639100
2020-03-17,12.100000,12.370000,10.800000,11.720000,11.720000,6830500
2020-03-18,10.960000,11.000000,7.440000,9.010000,9.010000,6283400
2020-03-19,8.760000,9.480000,7.010000,8.390000,8.390000,6294700
2020-03-20,9.260000,11.250000,8.420000,8.690000,8.690000,6841700
2020-03-23,9.350000,9.990000,8.600000,9.830000,9.830000,6250100
2020-03-24,12.540000,14.390000,11.750000,13.530000,13.530000,8988100
2020-03-25,17.570000,17.950001,14.590000,15.960000,15.960000,11570600
2020-03-26,17.150000,18.680000,16.080000,16.510000,16.510000,9915500
2020-03-27,15.760000,16.000000,14.380000,14.790000,14.790000,5784800
2020-03-30,13.500000,13.660000,11.650000,12.420000,12.420000,7175700
2020-03-31,13.090000,13.300000,12.550000,12.890000,12.890000,4850500
2020-04-01,11.660000,12.180000,11.140000,11.320000,11.320000,5319400
2020-04-02,11.210000,11.500000,10.120000,10.530000,10.530000,4394700
2020-04-03,11.000000,11.110000,10.080000,10.510000,10.510000,3785800
2020-04-06,11.490000,11.770000,10.330000,10.470000,10.470000,8055500
2020-04-07,12.310000,13.460000,11.070000,11.440000,11.440000,8833800
2020-04-08,12.040000,12.670000,11.660000,12.510000,12.510000,5281600
2020-04-09,13.440000,15.190000,13.190000,14.080000,14.080000,9878300
2020-04-13,15.150000,15.340000,12.510000,13.320000,13.320000,7983600
2020-04-14,14.310000,14.550000,13.600000,13.880000,13.880000,5699800
